ParishID,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday
20,6:00 PM,"8:30 AM, 10:00 AM, 12:30 PM",7:00 PM,7:00 PM,7:00 PM,7:00 PM,7:00 PM
21,5:30 PM,"7:30 AM, 9:00 AM, 10:30 AM, 12:00 PM","7:00 AM, 8:00 AM, 7:00 PM (Novena Mass)","7:00 AM, 8:00 AM","7:00 AM, 8:00 AM","7:00 AM, 8:00 AM","7:00 AM, 8:00 AM"
22,"5:00 PM (English), 6:00 PM (Español)","9:00 AM (English), 10:30 AM (Español), 12:00 PM (Español)",7:00 AM,7:00 AM,7:00 AM,7:00 AM,7:00 AM
23,5:00 PM,"8:30 AM, 10:30 AM, 12:30 PM (Español)",12:10 PM (Monday – Friday),12:10 PM (Monday – Friday),12:10 PM (Monday – Friday),12:10 PM (Monday – Friday),12:10 PM (Monday – Friday)
24,"8:45 AM, 5:15 PM (Vigil)","7:30 AM, 9:30 AM, 11:30 AM, 6:00 PM","['7:30 AM', '8:45 AM']","['7:30 AM', '8:45 AM']","['7:30 AM', '8:45 AM']","['7:30 AM', '8:45 AM']","['7:30 AM', '8:45 AM']"
25,5:00 PM,"8:00 AM, 10:00 AM, 12:00 PM",NA,NA,NA,NA,NA
26,NA,NA,NA,NA,NA,NA,NA
27,"8:30 AM, 5:30 PM, 8:00 PM (Korean)","7:30 AM, 9:00 AM (Korean), 10:30 AM, 12:00 PM, 1:30 PM (Korean)",8:30 AM,8:30 AM,"8:30 AM, 8:00 PM (Korean)",8:30 AM,"8:30 AM, 8:00 PM (Korean)"
28,"{'Day': '12:00 PM', 'Evening': '5:30 PM'}","{'Spanish': '12:00 PM', 'English': '10:00 AM'}",12:00 PM,12:00 PM,12:00 PM,7:00 PM,12:00 PM
29,4:00 PM,"8:00 AM, 10:00 AM, 12:00 PM",8:00 AM,8:00 AM,8:00 AM,8:00 AM,8:00 AM
30,"{'Morning': '7:30 AM', 'Vigil': '5:30 PM'}","{'Morning': '9:30 AM', 'Late Morning': '11:00 AM'}",7:30 AM,7:00 PM,7:30 AM,7:30 AM,7:00 PM
31,NA,NA,NA,NA,NA,NA,NA
32,NA,NA,NA,NA,NA,NA,NA
33,"8:00 AM, 4:30 PM","7:30 AM, 9:00 AM, 11:00 AM, 7:00 PM, 2:00 PM (Chinese, Except 2nd Sunday of the Month)",['12:10 PM'],['12:10 PM'],['12:10 PM'],['12:10 PM'],['12:10 PM']
34,5:00 PM,"8:00 AM, 10:00 AM, 12:00 PM",NA,NA,NA,NA,NA
35,"8:00 AM, 4:00 PM","8:00 AM, 10:00 AM, 12:00 PM, 1:30 PM, 4:00 PM",8:00 AM,8:00 AM,8:00 AM,8:00 AM,8:00 AM
36,5:30 PM,"8:00 AM, 9:30 AM (Vietnamese), 11:00 AM, 7:00 PM (Portuguese)",NA,NA,NA,NA,7:00 PM (Portuguese)
37,"4:00 PM English, 7:00 PM Spanish","7:30 AM English, 9:00 AM Portuguese, 11:00 AM Spanish, 12:30 PM English","7:30 AM English, 7:00 PM Spanish","7:30 AM English, 7:00 PM Spanish","7:30 AM English, 7:00 PM Portuguese",7:30 AM English,"7:30 AM English, 7:00 PM Spanish"
38,5:00 PM,"8:00 AM, 10:00 AM, 12:00 PM",9:00 AM,9:00 AM,9:00 AM,9:00 AM,9:00 AM
39,3:30 PM - 6:00 PM,8:00 AM - 1:00 PM,NA,NA,NA,NA,NA
40,"{'Daily': '8:00 AM', 'Vigil': '5:00 PM'}","7:30 AM, 9:30 AM, 11:00 AM (Italian), 12:15 PM, 6:00 PM",8:00 AM,8:00 AM,8:00 AM,"{'Mass': '7:00 PM', 'Adoration': '8:00 AM to 7:00 PM'}",8:00 AM
41,5:00 PM,"9:00 AM, 10:30 AM, 1:30 PM (Spanish), 7:30 PM",NA,NA,NA,NA,NA
42,"{'Morning': '8:00 AM', 'Evening': '5:00 PM'}","{'English': '9:00 AM', 'Spanish': '11:00 AM', 'Creole': '4:00 PM'}","{'Monday-Thursday': '8:00 AM', 'Friday': '7:00 PM'}","{'Monday-Thursday': '8:00 AM', 'Friday': '7:00 PM'}","{'Monday-Thursday': '8:00 AM', 'Friday': '7:00 PM'}","{'Monday-Thursday': '8:00 AM', 'Friday': '7:00 PM'}","{'Monday-Thursday': '8:00 AM', 'Friday': '7:00 PM'}"
