ParishID,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday
ParishID,,,,,,,
150,4:30 PM - 5:30 PM,7:00 AM - 8:00 AM,7:15 AM - 7:45 AM,7:15 AM - 7:45 AM,7:15 AM - 7:45 AM,7:15 AM - 7:45 AM,7:15 AM - 7:45 AM
151,6:00 PM,,,,,,
152,,,,,,,
153,,,,,,,
154,,,,,,,
155,4:30 PM - 4:50 PM,,,,,,
156,5:30 PM - 5:45 PM,,,,,,
157,,,,,,,
158,4:00 PM - 4:30 PM,8:00 AM - 8:30 AM,,,,,
159,5:30 PM - 5:45 PM,,,,,,
160,4:30 PM - 5:10 PM,,,4:30 PM - 5:10 PM,,4:30 PM - 5:10 PM,
161,3:45 PM,,,,,,
162,4:00 PM,7:30 AM,,8:30 AM,6 PM,8:30 AM,5:30 PM
163,,,,,,,
164,,,,,,,
165,,,,,,,
166,,,,,,,
167,12:15 PM - 1:00 PM,,,,3:15 PM - 4:00 PM,,
168,5 PM,10 AM,,,,,
169,8:00 AM - 8:20 AM,7:30 AM - 7:50 AM,8:00 AM - 8:20 AM,5:00 PM - 5:20 PM,8:00 AM - 8:20 AM,5:00 PM - 5:20 PM,8:00 AM - 8:20 AM
170,,,,,,,
171,,,,,,4:30 PM,
172,9:00 AM - 10:30 AM,,,7:50 AM - 8:20 AM,5:20 PM - 5:50 PM,7:50 AM - 8:20 AM,7:30 AM - 8:00 AM
173,,,,,,,
174,3:45 PM - 4:15 PM,,,,,,11:20 AM - 11:50 AM
175,,,,,,,
176,,,,,,,
177,8:40 AM - 9:00 AM,,,,,,
178,,,,,,,
179,,,,,,,
180,,,,,,,
181,9:00 AM - 10:00 AM,,,5:00 PM - 6:00 PM,,,
182,3:00 PM - 3:45 PM,,,,,,9:30 AM - 10:30 AM
183,4:00 PM - 4:45 PM,,,,,,
184,3:00 PM - 3:30 PM,,,,,,
185,,,,4:30 PM - 5:00 PM,,4:30 PM - 5:00 PM,
186,,,,,,,
187,3:00 PM - 3:45 PM,11:15 AM - 12:00 PM,,,,,
188,,,,,,,
189,4:00 PM,,,,,,
190,,,,,,,
191,3:00 PM,,,5:30 PM,5:30 PM,11:30 AM,
192,4:00 PM - 4:45 PM,11:45 AM - 12:45 PM,,5:00 PM - 5:45 PM,5:00 PM - 5:45 PM,5:00 PM - 5:45 PM,
193,4:00 PM - 4:30 PM,8:00 AM - 8:30 AM,11:45 AM - 12:15 PM,8:00 PM - 9:00 PM,4:30 PM - 5:30 PM,8:00 PM - 9:00 PM,
194,4:15 PM,11:00 AM,,,,,
195,5:15 PM,,,,,,
196,,,,,,,
197,4:00 PM - 4:45 PM,,,8:40 AM - 8:55 AM,,8:40 AM - 8:55 AM,8:40 AM - 8:55 AM
198,,,,,,,
199,,,,,,,
200,3:45 PM - 4:30 PM,,,,,,
201,4:30 PM - 5:00 PM,,,,,,
202,9:00 AM - 9:30 AM,,,,,,
203,,,,,,,
204,8:30 AM,,,,6:00 PM - 6:45 PM,,
205,3:30 PM,,,,,,11:30 AM
206,8:10 AM - 3:50 PM,,,7:15 AM - 7:45 AM,,7:15 AM - 7:45 AM,
207,3:30 PM - 4:30 PM,,,8:15 AM - 8:50 AM,5:00 PM - 6:00 PM,,8:15 AM - 8:50 AM
208,6:00 PM,,,,6:00 PM,6:00 PM,
209,9:15 AM,,,,4:15 PM,,
210,,,,,,,
211,3:00 PM,,,6:30 PM,7:30 AM,,
212,,,,,,,
213,9:45 AM - 10:30 AM,,,,5:30 PM - 6:30 PM,6:00 PM - 7:30 PM,
214,,,,,,,
215,,9:00 AM - 9:30 AM,,2:00 PM - 3:00 PM,,,
216,4:00 PM - 4:45 PM,,,,,,
217,,,,,,,
218,,,,,,,
219,,,,,,,
220,,,,,,,
221,3:30 PM - 4:25 PM,3:30 PM - 4:25 PM,,,,,
222,,,,,,,
223,,,,,,,
224,,,,6:00 PM - 6:45 PM,6:00 PM - 6:45 PM,6:00 PM - 6:45 PM,6:00 PM - 6:45 PM
225,4:30 PM,,,,,,
226,,,,,,,
227,4:00 PM - 4:45 PM,,,,,,
228,,,,,,,
229,9:30 AM,,,6:00 PM - 6:45 PM,,6:00 PM - 6:45 PM,
230,4:30 PM,8:30 AM,,,,,
231,9:00 AM - 10:00 AM,,11:15 AM - 11:45 AM,,11:15 AM - 11:45 AM,,11:15 AM - 11:45 AM
232,,,,,,,
233,,9:00 AM - 9:20 AM,,11:30 AM - 11:50 AM,,11:30 AM - 11:50 AM,11:30 AM - 11:50 AM
234,7 PM,,,,,,
235,,,,,,,
236,,,,,,,
237,,,,,,,
238,,,,,,,
239,,,,,6:00 PM - 7:00 PM,,
240,4:15 PM - 4:45 PM,,,,,,
241,9:30 AM - 10:30 AM,,,,7:30 PM - 8:30 PM,,
242,4:00 PM - 5:00 PM,,,,,,
243,,,,,,,
244,10:00 AM - 11:00 AM,,,,6:00 PM - 7:00 PM,,
245,3:00 PM,,,5:30 PM,,,
246,4:00 PM - 4:45 PM,,,,6:00 PM - 7:00 PM,,
247,8:00 AM - 4:00 PM,,8:30 AM - 9:00 AM,,,6:00 PM,8:30 AM - 9:00 AM
248,4:00 PM - 4:30 PM,,,,,5:30 PM,
249,8:00 AM - 9:00 AM,,,,,,
250,4:00 PM,,,,,,
251,2:30 PM - 3:30 PM,,,,,,
252,,,5:30 PM - 6:45 PM,5:30 PM - 6:45 PM,5:30 PM - 6:45 PM,5:30 PM - 6:45 PM,5:30 PM - 6:45 PM
253,,,,,,,
254,9:00 AM - 10:00 AM,,,,7:00 PM - 8:00 PM,,
255,,,,,,,
256,3:30 PM - 7:00 PM,,,,,,4:30 PM - 5:30 PM
257,3:00 PM - 4:00 PM,,,,9:30 AM - 6:30 PM,,
258,,,,,,,
259,8:30 AM - 10:00 AM,,8:00 AM - 8:25 AM,8:00 AM - 8:25 AM,8:00 AM - 8:25 AM,6:00 PM - 7:00 PM,8:00 AM - 8:25 AM
260,,,,,,,
261,9:00 AM - 10:00 AM,,,,5:00 PM - 7:00 PM,,
262,,,,,,,
263,9:30 AM - 10:30 AM,,,,5:00 PM - 6:00 PM,,
264,4:00 PM - 4:30 PM,7:15 AM - 7:45 AM,,,5:00 PM - 5:45 PM,,
265,,,,,,,
266,,,,,,,
267,3:00 PM - 3:45 PM,,,,,,6:00 PM - 6:45 PM
268,,,,,,,
269,11:00 AM,,,,,,
270,,,,,,,
271,3:00 PM - 4:30 PM,,,,,,
272,10:00 AM,,5:00 PM - 6:00 PM,5:00 PM - 6:00 PM,,5:00 PM - 6:00 PM,
273,3:30 PM - 4:30 PM,,,,,,
274,,,,,,,
275,4:00 PM,,,,,,
276,,,,,,,
277,,,,,,,
278,4:45 PM - 5:15 PM,9:15 AM - 9:45 AM,,,5:15 PM - 6:15 PM,,
279,,,,,,,
280,4:00 PM - 4:30 PM,,,,9:00 AM - 6:10 PM,,
281,3:00 PM - 4:30 PM,,,,,,
282,3:30 PM - 4:30 PM,,,,,,
283,2:30 PM,,,,,,
284,1:30 PM - 3:00 PM,,,,5:00 PM - 6:00 PM,,
285,4:30 PM,,,,,,
286,,,,,,,
287,3:30 PM - 4:30 PM,,,5:00 PM,,,
288,5:00 PM,,,,,,
289,9:00 AM - 10:00 AM,,9:00 AM,,4:00 PM,,9:00 AM
290,,,,,,,
291,9:00 AM - 10:00 AM,,,,,,
292,,,,,,,
293,,,,,,,
294,3:00 PM - 4:00 PM,,,,,,
295,,,,,,,
296,,10:15 AM - 10:45 AM,,,,,
297,4:00 PM - 5:00 PM,,,,11:00 AM - 11:45 AM,,
298,5:25 PM,,,,,,
299,4:00 PM,,,,,,
300,,,,,,,
301,,,,,,,
302,3:00 PM - 4:00 PM,,,,,,
303,,,,,,,
304,2:30 PM - 3:15 PM,,,,5:00 PM - 6:15 PM,,
305,8:30 AM,,,,,,
306,3:00 PM,,,,,,
307,3:00 PM - 4:00 PM,,5:00 PM - 6:00 PM,,,,
308,,,,,,,
309,3:30 PM - 4:00 PM,,,,,,
310,,,,,,,
311,,,,,,,
312,,,,,,,
313,4:00 PM - 4:45 PM,,,,,,
314,3:30 PM,,,,,,
315,3:30 PM - 4:30 PM,,,,,,
316,3:15 PM - 3:45 PM,,,6:00 PM - 6:30 PM,,,
317,,,,,,,
318,,,,,,,
319,5:00 PM - 5:45 PM,9:15 AM - 9:45 AM,,,5:30 PM - 6:15 PM,,8:00 AM - 8:45 AM
320,,,,11:00 AM - 11:45 AM,,,
321,3:30 PM,,,,,,
322,03:30 PM,,,,,,
323,4:00 PM - 4:30 PM,,,,,,
324,2:30 PM,,,,,,
325,4:00 PM - 4:30 PM,,,,,,
326,3:00 PM - 4:00 PM,,,,,6:30 PM - 7:30 PM,
327,,,,,,,
328,,,,,,,
329,,,,,,,
330,,,,,,,
331,3:00 PM - 3:30 PM,8:00 AM - 8:30 AM,,,,,
332,3:00 PM,,,,,,
333,11:00 AM - 11:45 AM,,,11:00 AM - 11:45 AM,11:00 AM - 11:45 AM,11:00 AM - 11:45 AM,11:00 AM - 11:45 AM
334,,,,,,,
335,3:30 PM,,,,,,
336,3:00 PM - 3:30 PM,,,,,,
337,3:30 PM - 3:50 PM,5:30 PM - 5:50 PM,,,,,
338,,,,,,,
339,4:00 PM - 4:45 PM,3:00 PM - 3:45 PM,,,,,
340,,,,,,,
341,9:30 AM - 10:30 AM,,,,,,
342,,,,,,,
343,,,,,6:05 PM - 6:45 PM,,
344,,,,,,,
345,3:00 PM - 3:30 PM,,,,,,
346,2:30 PM - 3:30 PM,,,,,,
347,3:30 PM,,,,,,
348,10:00 AM - 3:45 PM,,,,,6:00 PM - 6:45 PM,10:00 AM - 3:00 PM
349,,,,,,,
350,3:15 PM - 4:00 PM,,,,7:00 PM - 8:00 PM,,
351,,,,,,,
352,3:00 PM,,,,,,
353,1:00 PM - 3:00 PM,,,5:00 PM - 6:00 PM,,,
354,,,,,,,
355,12:00 PM - 1:30 PM,,,,7:00 PM - 8:30 PM,,
356,,,,,,,
357,,,,,,,
358,,,,,,,
359,8:00 AM - 9:00 AM,10:00 AM - 11:00 AM,12:00 PM - 12:30 PM,,12:00 PM - 12:30 PM,5:00 PM - 5:30 PM,12:00 PM - 12:30 PM
360,,,6:00 PM - 7:00 PM,,,,
361,,,,,,,
362,7 PM,,,,,,
363,,,,,,,
364,3:15 PM - 3:45 PM,,,,,,
365,2:45 PM - 3:15 PM,,,,,,
366,6:00 PM,,,,,,
367,,,,,,,
368,4:00 PM,,,,,,
369,3:15 PM - 3:55 PM,,,6:00 PM - 7:00 PM,,6:00 PM - 7:00 PM,
370,3:00 PM - 3:45 PM,,,,,,
371,,,,,,,
372,,,,,,,
373,,,,,,,
374,,,,,,,
375,,,,,,,
376,,,,,,,
377,8:45 AM - 9:30 AM,,,,,,
