ParishID,Adoration_Times,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday
64,"{""Friday"": [""11:00 AM (in church)""],""Daily"": [""24-hour private devotion to the Blessed Sacrament (in the Adoration Chapel)""]}",,,,,,,11:00 AM
65,,,,,,,,
66,"{""Friday"": ""Immediately following the 12:00 PM Mass"",""Daily"": ""12:30 PM""}",,,,,,,12:00 PM
67,,,,,,,,
68,"{""First Friday"": ""10:00 AM - 12:00 PM"",""Daily"": {""Before Weekday Mass"": ""11:00 AM - 12:00 PM"",""After Weekday Mass"": ""12:30 PM""}}",,,,,,,10:00 AM - 12:00 PM
69,,,,,,,,
70,,,,,,,,
71,"{""Weekdays"": ""8:00 AM - 4:00 PM""}",,,,,,,
72,"{""Friday"": ""11:00 AM""}",,,,,,,11:00 AM
73,"{""Monday to Wednesday"": ""8:30 AM - 9:30 AM"",""Thursday"": ""8:30 PM - 3:00 AM (Friday)"",""First Fridays"": ""8:30 PM - 3:00 AM"",""First Saturdays"": ""9:00 AM - 10:00 AM""}",8:30 AM,,8:30 AM,,8:30 AM,8:30 AM,8:30 AM
74,,,,,,,,
75,,,,,,,,
76,,,,,,,,
77,,,,,,,,
78,,,,,,,,
79,First Wednesday of the month (9:00 AM \u2013 4:15 PM),,,,,9:00 AM,,
80,,,,,,,,
81,,,,,,,,
82,Fridays 4:00 PM to 5:45 PM,,,,,,,4:00 PM - 5:45 PM
83,,,,,,,,
84,"{""1st Friday of the Month"": ""8:30 AM - 9:00 PM""}",,,,,,,8:30 AM - 9:00 PM
85,,,,,,,,
86,,,,,,,,
87,,,,,,,,
88,"{""Regular"": ""Half hour before each Mass"",""1st Friday"": ""5:30 PM - 7:00 PM"",""1st Saturday"": ""After Mass""}",5:30 PM - 7:00 PM,,,,,,5:30 PM - 7:00 PM
89,"{""Saturday"": ""3:00 PM - 8:00 PM""}",3:00 PM - 8:00 PM,,,,,,
90,"{""Thursday"": ""8:00 PM"",""Friday"": ""NA"",""Saturday"": ""8:00 AM - 12:00 PM (Third Saturday)""}",8:00 PM - 12:00 PM,,,,,8:00 PM - 12:00 PM,8:00 PM - 12:00 PM
91,"{""First Friday"": ""7:00 PM"",""Third Thursday"": ""7:00 PM""}",,,,,,7:00 PM,7:00 PM
92,"[""8:00 PM Neocatechumenal Way (Tuesday and Wednesday)"",""8:00 PM Blessed Sacrament (1st Thursday of the month)""]",,,,8:00 PM,8:00 PM,8:00 PM,
93,"{""First Friday"": ""9:00 AM - 7:00 PM""}",,,,,,,9:00 AM - 7:00 PM
94,"{""Holy Hour"": {""English/Bilingual"": ""Selected Mondays from 7:00 PM to 8:00 PM"",""Spanish"": ""Last Wednesday of the month from 7:00 PM to 8:15 PM""},""Eucharistic Adoration"": ""Select Mondays from 3:00 PM to 5:00 PM""}",,,7:00 PM - 8:00 PM,,7:00 PM - 8:00 PM,,
95,,,,,,,,
96,,,,,,,,
97,,,,,,,,
98,,,,,,,,
99,,,,,,,,
100,24/7,,,,,,,
101,"{""Wednesday"": ""7:30 PM to 8:30 PM""}",,,,,7:30 PM - 8:30 PM,,
102,8:00 PM - Eucharistic Adoration,,,,,,,
103,"{""Fridays"": ""8:30 AM to 10:00 AM""}",,,,,,,8:30 AM - 10:00 AM
104,,,,,,,,
105,"{""Advent Journey"": {""Week 1"": ""December 6 at 6:30 PM"",""Week 2"": ""December 13 at 6:30 PM"",""Week 3"": ""December 20 at 6:30 PM""}}",,,,,,,
106,,,,,,,,
107,,,,,,,,
108,,,,,,,,
109,,,,,,,,
110,,,,,,,,
111,24/7,,,,,,,
112,,,,,,,,
113,,,,,,,,
114,,,,,,,,
115,"{""First Friday"": ""8:00 AM"",""First Saturday"": ""8:00 AM""}",8:00 AM,,,,,,8:00 AM
116,,,,,,,,
117,"{""FirstSaturday"": ""10:00 AM""}",10:00 AM,,,,,,
118,,,,,,,,
119,,,,,,,,
120,,,,,,,,
121,,,,,,,,
122,"{""Monday"": ""12:30 PM \u2013 3:00 PM"",""Friday"": ""12:30 PM \u2013 3:00 PM""}",,,12:30 PM,,,,12:30 PM
123,"{""Wednesday"": ""7:00 PM - 8:00 PM"",""Second Saturday"": ""3:00 PM - 4:00 PM""}",7:00 PM - 8:00 PM,,,,7:00 PM - 8:00 PM,,
124,,,,,,,,
125,,,,,,,,
126,,,,,,,,
127,"{""Monday to Friday"": ""9:30 AM to 4:00 PM""}",,,9:30 AM,,,,9:30 AM
128,,,,,,,,
129,,,,,,,,
130,"{""Wednesday"": ""12:00 PM - 4:00 PM""}",,,,,12:00 PM - 4:00 PM,,
131,,,,,,,,
132,,,,,,,,
133,,,,,,,,
134,,,,,,,,
135,,,,,,,,
136,Daily between Masses,,,,,,,
137,,,,,,,,
138,7:00 PM Every Thursday of the month,,,,,,7:00 PM,
139,,,,,,,,
140,"{""2nd Tuesday"": ""2:00 PM - 8:00 PM""}",,,,2:00 PM - 8:00 PM,,,
141,,,,,,,,
142,,,,,,,,
143,,,,,,,,
144,,,,,,,,
145,,,,,,,,
