ParishID,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Language
41,5:00 PM,"9:00 AM, 10:30 AM, 1:30 PM, 7:30 PM",,,,,,"English, Spanish"
42,"8:00 AM, 5:00 PM","9:00 AM, 11:00 AM, 4:00 PM","8:00 AM, 7:00 PM","8:00 AM, 7:00 PM","8:00 AM, 7:00 PM","8:00 AM, 7:00 PM",7:00 PM,English
43,5:30 PM,"9:00 AM, 11:00 AM",7:00 AM,7:00 AM,7:00 AM,7:00 AM,7:00 AM,English
44,5:30 PM,"10:00 AM, 12:00 PM","7:30 AM, 12:10 PM","7:30 AM, 12:10 PM",7:30 AM,"7:30 AM, 12:10 PM","7:30 AM, 12:10 PM",English
45,5:30 PM,"9:00 AM, 1:00 PM, 11:00 AM",12:10 PM,12:10 PM,12:10 PM,12:10 PM,12:10 PM,"English, Spanish"
46,"8:30 AM, 5:00 PM","7:30 AM, 8:45 AM, 10:00 AM, 11:30 AM, 1:00 PM","7:00 AM, 8:30 AM","7:00 AM, 8:30 AM","7:00 AM, 8:30 AM","7:00 AM, 8:30 AM","7:00 AM, 8:30 AM","English, Spanish"
47,"9:00 AM, 5:30 PM, 4:00 PM","8:00 AM, 9:00 AM, 10:00 AM, 12:00 PM",7:00 AM,"7:00 AM, 7:00 PM",7:00 AM,7:00 PM,7:00 AM,"English, Spanish"
48,"4:00 PM, 8:00 AM","8:00 AM, 12:00 PM, 10:00 AM, 11:00 AM",8:00 AM,8:00 AM,8:00 AM,8:00 AM,8:00 AM,English
49,"8:30 AM, 5:00 PM","8:00 AM, 10:00 AM, 12:00 PM","7:00 AM, 8:30 AM","7:00 AM, 8:30 AM","7:00 AM, 8:30 AM","7:00 AM, 8:30 AM","7:00 AM, 8:30 AM",English
50,"5:00 PM, 7:00 PM","8:00 AM, 10:00 AM, 12:00 PM",7:00 AM,7:00 AM,7:00 AM,7:00 AM,7:00 AM,English
51,5:30 PM,"9:00 AM, 10:30 AM",8:00 AM,8:00 AM,8:00 AM,8:00 AM,8:00 AM,"English, Spanish"
52,8:30 AM,"9:00 AM, 11:00 AM",8:30 AM,"8:30 AM, 6:30 PM",8:30 AM,"8:30 AM, 6:30 PM",8:30 AM,"English, Spanish"
53,"8:30 AM, 5:00 PM","8:00 AM, 10:00 AM","8:30 AM, 6:30 PM",8:30 AM,"8:30 AM, 6:30 PM",8:30 AM,"8:30 AM, 6:30 PM",English
54,4:30 PM,"8:00 AM, 10:00 AM, 12:00 PM",8:00 AM,6:00 PM,6:00 PM,8:00 AM,6:00 PM,English
55,5:00 PM,"9:00 AM, 11:30 AM",8:30 AM,8:30 AM,8:30 AM,8:30 AM,8:30 AM,English
56,5:00 PM,9:00 AM,7:00 AM,7:00 AM,7:00 AM,7:00 AM,7:00 AM,English
57,5:00 PM,,12:00 PM,,,12:00 PM,12:00 PM,English
58,5:30 PM,"9:00 AM, 10:30 AM, 12:00 PM, 5:00 PM",,,,,,English
59,"12:05 PM, 4:00 PM, 7:30 PM","8:00 AM, 10:00 AM, 12:00 PM","8:00 AM, 12:05 PM","8:00 AM, 12:05 PM","8:00 AM, 12:05 PM","8:00 AM, 12:05 PM","8:00 AM, 12:05 PM",English
60,5:00 PM,"7:30 AM, 11:00 AM, 7:00 PM, 12:30 PM, 1:30 PM","7:00 AM, 7:00 PM","7:00 AM, 7:00 PM","7:00 AM, 7:00 PM","7:00 AM, 7:00 PM","7:00 AM, 7:00 PM",English
61,"5:30 PM, 8:30 AM","8:00 AM, 10:00 AM, 12:00 PM","7:00 AM, 8:30 AM","7:00 AM, 8:30 AM","7:00 AM, 8:30 AM","7:00 AM, 8:30 AM","7:00 AM, 8:30 AM",English
62,5:30 PM,"8:00 AM, 10:00 AM, 12:00 PM, 9:00 AM, 11:30 AM",12:00 PM,12:00 PM,12:00 PM,12:00 PM,12:00 PM,English
63,4:00 PM,"8:00 AM, 10:00 AM, 12:00 PM, 6:00 PM",8:00 AM,8:00 AM,8:00 AM,8:00 AM,8:00 AM,English
64,"7:30 AM, 5:00 PM","7:30 AM, 9:30 AM, 11:30 AM, 5:00 PM","7:00 AM, 12:00 PM","7:00 AM, 12:00 PM","7:00 AM, 12:00 PM","7:00 AM, 12:00 PM","7:00 AM, 12:00 PM",English
65,"5:00 PM, 12:00 PM","7:00 PM, 7:30 AM, 9:00 AM, 10:30 AM, 12:00 PM",12:00 PM,7:30 AM,12:00 PM,12:00 PM,8:00 PM,English
66,"9:00 AM, 5:00 PM","7:30 AM, 9:00 AM, 10:30 AM, 12:00 PM, 1:30 PM, 3:00 PM",12:00 PM,12:00 PM,12:00 PM,12:00 PM,12:00 PM,"English, Spanish"
